domain,researcher,unique_id,block_order,mean_rt,perc_acc,D_tt1,D_tt2,D_tt3,D_tt4,D_odd,D_even,gender,age
Race,katie,ian race katie_12,2,1484,0.97,0.63,0.67,0.01,0.16,0.23,0.57,Male,52
Race,katie,ian race katie_13,1,1333,0.97,1.23,-0.25,-0.12,-0.07,0.25,0.19,,
Race,katie,ian race katie_14,1,1181,0.96,0.26,0.04,-0.48,-0.11,0.03,-0.17,,
Race,katie,ian race katie_15,2,1698,0.96,0.33,0.69,-0.18,0.24,0.13,0.47,Male,20
Race,katie,ian race katie_16,2,1693,0.98,0.38,0.16,-0.51,-0.37,0.05,-0.25,Male,43
Race,katie,ian race katie_17,1,1732,0.95,-0.1,0.18,-0.07,-0.08,0.12,-0.06,Female,22
Race,katie,ian race katie_18,1,1911,0.92,0.66,0.22,0.08,0.47,0.31,0.47,,
Race,katie,ian race katie_19,2,1499,0.97,0.03,-0.21,-0.58,-0.43,-0.19,-0.31,Female,21
Race,katie,ian race katie_20,2,1703,0.97,-0.11,0.1,-0.15,0.38,-0.09,0.12,Female,32
Race,katie,ian race katie_21,1,1167,0.95,0.72,-0.34,-0.37,-0.39,-0.08,-0.12,Female,22
Race,katie,ian race katie_22,1,1842,0.97,-0.24,-0.49,-0.26,-0.31,-0.48,-0.21,Male,38
Race,katie,ian race katie_24,2,1983,0.95,0.22,0.07,0.02,0.06,0.13,0.17,Male,20
Race,katie,ian race katie_25,1,1532,0.95,0.34,-0.19,-0.7,-0.41,-0.06,-0.37,Female,35
Race,katie,ian race katie_26,1,1328,0.98,0.93,-0.22,-0.27,-0.09,0.46,-0.35,Female,35
Race,katie,ian race katie_27,2,1748,0.95,0.65,0.29,0.27,0.12,0.43,0.11,Male,36
Race,katie,ian race katie_28,2,1523,0.95,0.23,0.29,-0.21,0.21,0.25,-0.06,,
Race,katie,ian race katie_29,1,1349,0.91,0.36,0.15,0.17,0.32,0.21,0.32,Male,21
Race,katie,ian race katie_30,1,1570,0.92,-0.2,0.37,-0.16,-0.34,-0.09,-0.01,,
Race,katie,ian race katie_31,2,1428,0.95,0.16,0.29,0.28,-0.08,0.08,0.18,Female,18
Race,katie,ian race katie_32,2,1534,0.94,0.1,0.54,0.2,0.27,0.31,0.26,Female,19
Race,katie,ian race katie_33,1,1647,0.95,0.08,-0.54,0.08,-0.29,-0.07,-0.17,Male,19
Race,katie,ian race katie_34,1,1303,0.95,-0.18,-0.23,0.05,0.26,0.14,-0.29,Female,23
Race,katie,ian race katie_35,2,1194,0.95,0.82,-0.01,-0.06,0.28,0.47,0.06,Female,20
Race,katie,ian race katie_36,2,1471,0.97,0.49,0.26,-0.23,0.32,0.68,-0.26,Female,19
Race,katie,ian race katie_37,1,1369,0.94,-0.01,0.25,0.06,0.24,0.22,0.12,Male,42
Race,katie,ian race katie_38,1,1804,0.9,0.33,0.4,-0.07,0.34,0.59,-0.15,Female,22
Race,katie,ian race katie_39,2,1859,0.92,0.83,0.28,0.44,0.69,0.59,0.6,Female,46
Race,katie,ian race katie_XX,1,1222,0.87,0.04,-0.41,-0.22,-0.19,0.07,-0.28,,
Non-words,Ian,ian non-words_3,1,1124,0.9,0.8,-0.289,-0.493,-0.231,,,Female,17
Non-words,Ian,ian non-words_4,2,2302,0.99,0.538,-0.529,-0.427,0.049,,,Female,43
Non-words,Ian,ian non-words_6,2,1361,0.83,0.193,0.034,-0.516,0.03,,,Female,21
Non-words,Ian,ian non-words_7,1,1744,0.97,0.069,-0.193,-0.572,-0.17,,,Female,46
Non-words,Ian,ian non-words_8,2,1112,0.93,0.29,0.227,-0.053,-0.525,,,Male,20
Non-words,Ian,ian non-words_9,1,1169,0.87,0.273,0.818,0.33,0.62,,,Female,21
Non-words,Ian,ian non-words_10,2,909,0.94,0.722,-0.236,-0.132,-0.309,,,Female,20
Non-words,Ian,ian non-words_11,1,1671,0.97,0.548,0.376,-0.009,0.328,,,Female,21
Non-words,Ian,ian non-words_12,2,1033,0.93,-0.157,-0.044,-0.15,0.396,,,Female,20
Non-words,Ian,ian non-words_13,1,1251,1,0.406,-0.252,0.441,0.013,,,Female,21
Non-words,Ian,ian non-words_14,2,1073,0.88,0.134,0.12,-0.855,-0.028,,,Female,20
Non-words,Ian,ian non-words_15,1,1925,0.98,0.966,-0.739,0.022,-0.139,,,Female,49
Non-words,Ian,ian non-words_16,2,775,0.96,0.952,0.041,0.049,0.558,,,Female,22
Non-words,Ian,ian non-words_17,1,1307,0.99,0.718,-0.492,0.208,0.454,,,Female,21
Non-words,Ian,ian non-words_18,2,1200,0.98,0.217,-0.706,-0.389,-0.117,,,Female,41
Non-words,Ian,ian non-words_19,1,1321,0.95,1.287,1.214,-0.32,-0.331,,,Male,22
Non-words,Ian,ian non-words_44,2,1158,0.98,0.011,0.185,0.133,-0.828,,,Female,21
Non-words,Ian,ian non-words_45,1,1110,0.9,0.073,-0.357,-0.687,-0.466,,,Female,20
Non-words,Ian,ian non-words_46,2,788,0.94,0.065,0.186,-0.218,0.254,,,Female,21
Non-words,Ian,ian non-words_47,1,1056,0.9,-0.069,0.673,-0.687,-0.338,,,Female,20
Non-words,Ian,ian non-words_48,2,1772,0.9,0.952,0.045,-0.164,0.337,,,Female,21
Non-words,Ian,ian non-words_49,1,1148,0.88,0.131,0.414,-0.809,-0.015,,,Female,19
Non-words,Ian,ian non-words_51,1,1015,0.92,0.015,0.265,0.102,0.494,,,Female,23
Non-words,Ian,ian non-words_52,2,908,0.87,0.941,-0.091,0.763,-0.627,,,Female,23
Death,Emma,ian death emma_4,2,1140,0.94,-0.53,0.86,0.07,0.21,0.19,0.02,Female,20
Death,Emma,ian death emma_5,1,2219,0.92,0.36,0.6,-0.19,-0.21,0.29,0.04,Female,20
Death,Emma,ian death emma_7,1,989,0.93,0.15,0.29,-1.01,-0.64,-0.23,-0.54,Female,18
Death,Emma,ian death emma_8,2,1269,0.98,1.06,-0.47,-0.8,0.2,0.17,-0.08,Female,20
Death,Emma,ian death emma_9,1,1263,0.97,0.38,-0.02,-0.26,0.28,0.15,0.08,Male,19
Death,Emma,ian death emma_10,2,1242,0.92,0.28,-0.87,0.2,-0.26,-0.37,0.09,Female,20
Death,Emma,ian death emma_11,1,1553,0.88,-0.22,-0.24,-0.98,-0.1,-0.45,-0.3,Female,19
Death,Emma,ian death emma_12,2,1356,0.94,-0.27,-0.25,-0.13,0.1,-0.23,-0.09,Male,19
Death,Emma,ian death emma_13,1,1961,0.92,0.46,0.33,0.59,-0.02,0.28,0.34,Female,21
Death,Emma,ian death emma_15,1,1164,0.94,0.05,-0.23,-0.4,-0.22,-0.45,-0.34,Female,26
Death,Emma,ian death emma_16,2,1193,0.98,0.74,-0.12,-0.95,-0.26,-0.2,-0.19,Female,21
Death,Emma,ian death emma_17,1,1219,0.92,0.99,0.67,-0.62,-0.27,0.25,0.51,Female,20
Death,Emma,ian death emma_18,2,1481,0.89,0.32,-0.01,-0.43,-0.09,0.19,-0.36,Female,21
Death,Emma,ian death emma_20,2,1135,0.95,0.98,-0.07,-0.97,0.72,0.17,0.17,Female,19
Death,Emma,ian death emma_21,1,1332,0.97,0.32,-0.25,0.17,-0.17,0.1,0.04,Female,19
Death,Emma,ian death emma_22,2,1152,0.95,-0.29,0.57,0.17,-0.48,-0.13,0.03,Female,21
Death,Emma,ian death emma_24,2,1920,0.93,0.29,-0.38,-0.58,0.29,-0.35,0.27,Female,20
Death,Emma,ian death emma_25,1,1358,0.89,0.41,0.72,-0.34,0.5,0.44,0.56,Female,18
Death,Emma,ian death emma_26,2,1421,0.96,0.68,0.06,0.66,-0.17,0.16,0.36,Female,21
Death,Emma,ian death emma_27,1,1360,0.94,0.32,0.42,-0.41,0.26,0.01,0.42,Female,21
Death,Emma,ian death emma_28,2,1722,0.91,0.23,0.26,-0.21,-0.98,-0.16,0.02,Female,42
Death,Emma,ian death emma_29,1,1256,0.95,0.41,0.52,-0.31,-0.14,0.27,0.02,Female,19
Death,Emma,ian death emma_30,2,1381,0.99,1.07,0.86,-0.5,-0.31,0.25,0.4,Female,28
Death,Emma,ian death emma_31,1,1496,0.92,0.02,0.03,-0.4,-0.02,0.03,-0.34,Male,21
Death,Emma,ian death emma_32,2,2026,0.93,0,0.81,0.09,0.54,-0.22,0.5,Female,20
Death,Emma,ian death emma_33,1,1410,0.88,0.47,-0.2,-0.37,0.94,0.49,0.03,Male,20
Death,Emma,ian death emma_34,2,1325,0.92,0.88,0.3,0.29,0.35,0.41,0.55,Male,18
Death,Emma,ian death emma_36,2,1296,0.94,-0.04,-0.41,-0.97,-0.42,-0.61,-0.32,Female,21
Death,Emma,ian death emma_37,1,1255,0.95,0.2,0.55,-0.03,-0.13,0.03,0.25,Female,21
Death,Emma,ian death emma_38,2,1515,0.82,0.6,1,0.13,0.83,0.63,0.64,Male,18
Death,Emma,ian death emma_39,1,1441,0.93,-0.24,-0.13,-0.27,0.01,-0.11,-0.08,Male,21
Death,Emma,ian death emma_41,1,1041,0.97,0.62,0.8,-0.42,0.09,0.08,0.41,Female,18
Death,Emma,ian death emma_42,2,1213,0.96,0.28,-0.12,0.79,-0.18,0.33,-0.08,Female,19
Death,Emma,ian death emma_43,1,1257,0.88,0.09,-0.37,-0.62,-0.48,-0.52,0.14,Female,21
Death,Emma,ian death emma_44,2,1463,0.87,-0.1,0.14,-0.72,-0.16,-0.41,-0.03,Female,21
Death,Emma,ian death emma_45,1,1119,0.96,0.46,0.74,-1,-0.66,-0.03,-0.04,Female,21
Death,Emma,ian death emma_46,2,936,0.98,0.43,0.11,0.27,0.47,0.31,0.31,Female,21
Death,Emma,ian death emma_48,2,1058,0.97,0.82,-0.26,-0.53,0.12,-0.17,0.15,Female,21
Death,Emma,ian death emma_49,1,1159,0.97,0.03,-0.24,-0.73,-0.06,-0.42,0.12,Female,25
Death,Emma,ian death emma_50,2,1049,0.95,0.25,0.4,0.18,1.35,0.58,0.48,Male,21
Death,June,ian death june_2,2,1370,0.84,0.41,0.2,0.66,-0.02,0.32,0.28,Female,20
Death,June,ian death june_3,1,1670,0.92,-0.48,0.4,0.4,0.01,-0.06,0,Male,19
Death,June,ian death june_4,2,2067,0.93,-0.32,0.06,0.14,-0.28,0.2,-0.22,Female,21
Death,June,ian death june_5,1,1214,0.94,-0.11,0.07,-0.26,0.5,-0.02,0.04,Female,19
Death,June,ian death june_7,1,1561,0.94,0.26,-0.41,-0.41,0.08,-0.08,0.45,Female,20
Death,June,ian death june_9,1,1205,0.91,0.27,0.05,-0.45,0.09,0.09,0.03,Female,21
Death,June,ian death june_10,2,1616,0.94,0.62,0.18,0.22,0.24,0.06,0.61,Female,18
Death,June,ian death june_12,2,1326,0.93,0.34,-0.38,-1.34,0.53,0.2,-0.69,Female,28
Death,June,ian death june_13,1,1191,0.96,0.86,0.56,0.2,0.34,0.42,0.46,Male,21
Death,June,ian death june_15,1,2252,0.9,-0.17,-0.02,-0.37,-0.46,-0.14,-0.24,Female,21
Death,June,ian death june_16,2,1522,0.85,-0.09,-0.14,-0.83,0.16,-0.03,-0.42,Female,18
Death,June,ian death june_17,1,1528,0.88,0.15,0.15,-0.35,0.11,0.08,-0.23,Male,18
Death,June,ian death june_18,2,1604,0.87,-0.4,0.6,-0.37,-1.12,-0.06,-0.57,Male,20
Death,June,ian death june_20,2,1770,0.87,-0.47,-1.11,-0.36,-0.05,-0.42,-0.62,Male,21
Death,June,ian death june_21,1,1428,0.83,-0.33,0.12,-0.57,-0.66,-0.35,-0.61,Male,20
Death,June,ian death june_22,2,1655,0.93,0.78,0.89,0.35,-0.07,0.22,1.07,Female,21
Death,June,ian death june_23,1,1262,0.92,-0.33,-0.28,-0.47,0.16,-0.33,-0.18,Female,20
Death,June,ian death june_24,2,1559,0.89,0.22,0.27,-0.58,-0.87,-0.16,-0.38,Female,21
Death,June,ian death june_25,1,1287,0.96,0.92,1.13,-0.88,-0.9,0.22,0.16,Female,21
Death,June,ian death june_26,2,1617,0.95,0.61,0.18,-0.67,0.89,0.43,0.17,Female,19
Death,June,ian death june_27,1,1226,0.91,0.1,-0.26,-0.49,0.64,0.31,-0.15,Female,20
Death,June,ian death june_28,2,1884,0.98,-0.42,-0.04,-0.22,-0.18,-0.29,-0.15,Male,21
Death,June,ian death june_29,1,1590,0.98,0.63,0.42,0.15,0.11,0.31,0.42,Male,20
Death,June,ian death june_31,1,1352,0.95,-0.26,-0.61,-0.07,0.62,-0.17,0,Male,21
Death,June,ian death june_32,2,1917,0.91,0.59,-0.09,0.28,0.52,-0.06,0.61,Female,20
Death,June,ian death june_33,1,1079,0.89,0.53,-0.47,-0.43,-0.04,-0.21,-0.21,Female,21
Death,June,ian death june_35,1,1155,0.96,0.47,-0.56,-0.93,0.04,-0.26,0.02,Female,20
Death,June,ian death june_36,2,1627,0.94,0.25,0.56,-0.31,0.08,0.48,-0.08,Male,19
Death,June,ian death june_37,1,1308,0.91,0.32,0.53,0.33,0.37,0.53,0.24,Female,21
Death,June,ian death june_39,1,1888,0.97,-0.05,0.02,-0.37,0.37,-0.06,0.01,Female,20
Death,June,ian death june_40,2,1261,0.87,-0.26,-0.31,0.19,0.88,0.04,0.31,Female,19
Death,June,ian death june_42,2,1270,0.93,0.77,0.81,-0.46,0.18,0.4,0.09,Female,21
Death,June,ian death june_43,1,1139,0.92,-0.2,-0.28,-0.56,0.53,0.01,-0.32,Female,20
Death,June,ian death june_44,2,1332,0.98,0.72,0,0.26,0.5,0.57,0.31,Male,20
Death,June,ian death june_48,2,1381,0.98,-0.17,-0.31,-0.03,0.29,0.2,-0.17,Female,20
Death,June,ian death june_50,2,1877,0.96,0.45,0.07,-0.33,-0.04,-0.26,0.41,Male,19
Death,June,ian death june_51,1,1339,0.97,-0.25,-0.18,-0.61,-1.15,-0.71,-0.4,Male,21
Death,June,ian death june_52,2,1648,0.87,-0.59,0.39,0.38,0.04,0.39,-0.38,Female,22
Death,June,ian death june_54,2,1223,0.97,-0.27,0.63,-0.1,0.26,-0.12,0.53,,
Death,June,ian death june_54,2,1269,0.95,0.8,0.33,0.21,0.28,0.45,0.61,,
Death,June,ian death june_55,1,1577,0.84,-0.06,0.11,-0.03,-0.56,0.1,-0.22,Female,20
Death,June,ian death june_57,1,1121,0.99,0.03,-0.66,-0.19,0.35,-0.34,0.26,Female,29
Death,June,ian death june_62,2,907,0.96,0.45,-0.44,0.17,-0.72,0.06,-0.31,Female,21
Death,June,ian death june_65,1,996,0.94,0.65,-0.42,-0.94,0.2,-0.35,0.01,Female,21
Death,June,ian death june_66,2,1542,0.88,0.17,0.12,0.01,0.23,0.32,-0.44,Female,18
Death,June,ian death june_70,2,1213,0.99,0.66,0.52,-0.5,0.67,0.23,0.27,Male,32
Death,Tarah,ian death tarah_2,1,1323,0.95,0.24,0.19,-0.38,-0.02,0.02,-0.04,Male,32
Death,Tarah,ian death tarah_3,2,1205,0.99,0.95,0.81,0.02,0.1,0.53,0.43,Female,28
Death,Tarah,ian death tarah_4,2,1172,0.98,0.8,0.67,-0.26,-0.44,0.3,0.26,Male,34
Death,Tarah,ian death tarah_5,1,1263,0.96,0.49,-0.94,0.1,-0.13,-0.06,-0.27,Male,21
Death,Tarah,ian death tarah_6,1,1400,0.93,0.51,0.18,0.49,0.36,0.29,0.54,,
Death,Tarah,ian death tarah_6,2,1562,0.95,0.61,0.97,-0.48,-0.59,0.18,0.13,,
Death,Tarah,ian death tarah_7,2,785,0.97,0.5,-0.05,-0.46,-0.49,0.2,-0.22,Female,34
Death,Tarah,ian death tarah_9,2,1719,0.99,0.73,-0.45,0.29,-0.11,0.13,0.09,Female,20
Death,Tarah,ian death tarah_10,1,1577,0.96,0.23,0.62,0.49,-0.78,-0.09,0.13,Female,38
Death,Tarah,ian death tarah_12,2,1136,0.94,-0.12,-0.36,0.18,0.48,0.1,-0.26,Female,28
Death,Tarah,ian death tarah_13,1,1672,0.9,0.75,0.01,-0.46,-0.01,0.21,-0.01,Male,24
Death,Tarah,ian death tarah_14,1,1908,0.9,0.72,0.7,0.37,0.62,0.75,-0.12,Male,43
Death,Tarah,ian death tarah_15,2,1482,0.97,0.92,0.49,-0.57,0,0.19,-0.05,Female,18
Death,Tarah,ian death tarah_16,2,1420,0.97,0.93,0.25,-0.97,-0.44,0.12,-0.36,Male,19
Death,Tarah,ian death tarah_17,2,1590,0.97,0.76,0.73,-0.35,-0.06,0.21,0.12,Female,18
Death,Tarah,ian death tarah_18,1,1394,0.91,0.66,0.4,-0.52,-0.97,-0.16,0.16,Male,31
Death,Tarah,ian death tarah_19,1,1033,0.99,1.05,0.3,-0.79,0.36,0.6,-0.07,Female,43
Death,Tarah,ian death tarah_20,2,1553,0.98,0.09,0.52,-0.34,-0.19,0.65,-0.51,Male,27
Death,Tarah,ian death tarah_21,1,1428,0.98,0.7,0.31,-0.33,0.38,0.02,0.74,Female,42
Death,Tarah,ian death tarah_22,1,1027,0.98,0.35,-0.42,-0.27,0.56,0.17,0.32,Female,20
Death,Tarah,ian death tarah_23,1,1440,0.98,-0.24,-0.12,-0.06,-0.22,-0.09,-0.18,Female,19
Death,Tarah,ian death tarah_24,1,1749,0.94,0.38,-0.41,-0.03,0.07,-0.06,-0.18,Male,25
Death,Tarah,ian death tarah_26,1,1572,0.88,0.82,0.71,0.34,0.24,0.17,0.88,Female,21
Death,Tarah,ian death tarah_27,2,1540,0.93,0.33,-0.41,-0.14,-0.25,0.1,-0.24,Male,46
Death,Tarah,ian death tarah_28,2,2039,0.93,0.4,0.53,-0.28,0.02,0.56,-0.09,Male,31
Death,Tarah,ian death tarah_29,1,1160,0.86,0.8,0.31,-0.43,-1.19,-0.24,-0.09,Male,39
Death,Tarah,ian death tarah_30,1,1164,0.96,0.47,-0.11,-0.02,-0.62,-0.1,-0.39,Female,31
Death,Tarah,ian death tarah_31,2,1222,0.99,-0.2,-0.2,0.19,0.15,-0.02,0.14,Male,19
Death,Tarah,ian death tarah_32,2,1088,0.98,0.94,0.03,0.01,-0.05,0.5,-0.04,Female,21
Death,Tarah,ian death tarah_33,1,1471,0.97,1.03,-0.06,-0.87,-0.14,-0.2,-0.05,Male,51
Death,Tarah,ian death tarah_34,1,759,0.97,0.65,-0.32,-0.2,-0.34,-0.21,0.3,Female,20
Death,Tarah,ian death tarah_35,2,949,0.93,0.91,-0.6,-0.92,0.5,-0.27,0.11,Female,21
Death,Tarah,ian death tarah_36,2,1401,0.86,0.83,0.3,-0.55,-0.05,-0.24,0.54,Male,19
Death,Tarah,ian death tarah_37,1,1295,0.9,0.35,-0.22,-0.64,0.31,-0.32,0.03,Female,31
Death,Tarah,ian death tarah_38,1,1317,0.9,0.24,-0.03,-0.05,-0.26,-0.28,0.44,Female,21
Death,Tarah,ian death tarah_39,2,1054,0.97,0.29,0.58,0.32,0.18,-0.08,0.73,Female,20
Death,Tarah,ian death tarah_40,2,1790,0.97,-0.37,-0.09,-0.32,-0.09,0.06,-0.64,,
Death,Tarah,ian death tarah_40,2,1242,0.95,1.28,0.36,-0.35,0.11,0.44,0.36,,
Death,Tarah,ian death tarah_42,1,967,0.97,0.56,0.82,0.28,0.27,0.38,0.36,Female,19
Death,Tarah,ian death tarah_44,1,1110,0.94,-0.02,0.04,0.31,0.32,0.1,0.27,Female,21