key,author,publication_year,title,doi,potentially_counfounded_analysis_present,text_indicating_potentially_counfounded_analysis_present,page,,,,,,,,,,,,,,,,
K9U3IBA4,"Ritzert, Timothy R.; Forsyth, John P.; Berghoff, Christopher R.; Barnes-Holmes, Dermot; Nicholson, Emma",2015,The impact of a cognitive defusion intervention on behavioral and psychological flexibility: An experimental evaluation in a spider fearful non-clinical sample,10.1016/j.jcbs.2015.04.001,TRUE,"Analyses were conducted to determine if post-intervention IRAP effects for each condition were significantly different from zero (because IRAP effects of zero would indicate defused, flexible responding).",6,,,,,,,,,,,,,,,,
66RNVCRC,"Rönspies, Jelena; Schmidt, Alexander F.; Melnikova, Anna; Krumova, Rosina; Zolfagari, Asadeh; Banse, Rainer",2015,"Indirect measurement of sexual orientation: Comparison of the Implicit Relational Assessment Procedure, viewing time, and choice reaction time tasks",10.1007/s10508-014-0473-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
R9PB6WIC,"Barbero-Rubio, Adrián; López-López, Juan C.; Luciano, Carmen; Eisenbeck, Nikolett",2016,Perspective-taking measured by Implicit Relational Assessment Procedure (IRAP),10.1007/s40732-016-0166-3,TRUE,"Four one-sample t tests were conducted, showing that the four DIRAP scores for all trial types were significantly different from zeroâ€”I-Iâ€™s: M = .61, SD = .40, t(34) = 9.181, p < .001, d = 1.55; I-otherâ€™s: M = .30, SD = .43, t(34) = 4.165, p < .001,",6 of preprint,,,,,,,,,,,,,,,,
MDXQAPJW,"Bast, Diana Ferroni; Linares, Ila Marques Porto; Gomes, Caina; Kovac, Roberta; Barnes-Holmes, Dermot",2016,The Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness: The impact of a training history in clinical behavior analysis,10.1007/s40732-016-0162-7,TRUE,"When each of the eight trial-type scores for the two groups were subjected to one-sample t tests, three of the tests yielded significance (ps < .01) for the BT group (the Failure-Positive Feelings trial type was nonsignifi- cant, p = .75).",184,,,,,,,,,,,,,,,,
GQ6MQ4DQ,"Drake, Chad E.; Seymour, Kail H.; Habib, Reza",2016,Testing the IRAP: Exploring the reliability and fakability of an idiographic approach to interpersonal attitudes,10.1007/s40732-015-0160-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
85R7EEGW,"Drake, Chad E.; Timko, C. Alix; Luoma, Jason B.",2016,Exploring an implicit measure of acceptance and experiential avoidance of anxiety,10.1007/s40732-016-0186-z,TRUE,"The I am willing to have happiness trial type revealed a significant bias among the sample for selecting true more quickly than false, t(37) = 3.556, p = 0.001, 95 % CI [0.12, 0.43], d = 0.58. ",7 in pdf,,,,,,,,,,,,,,,,
CMHMBLM9,"Finn, Martin; Barnes-Holmes, Dermot; Hussey, Ian; Graddy, Joseph",2016,Exploring the behavioral dynamics of the implicit relational assessment procedure: The impact of three types of introductory rules,10.1007/s40732-016-0173-4,TRUE,Four one-sample t-tests indicated that the D-IRAP scores for the GR group each differed significantly from zero;,7 in preprint,,,,,,,,,,,,,,,,
YJCJPI8N,"Hughes, Sean; Hussey, Ian; Corrigan, Bethany; Jolie, Katie; Murphy, Carol; Barnes‐Holmes, Dermot",2016,Faking revisited: Exerting strategic control over performance on the Implicit Relational Assessment Procedure,10.1002/ejsp.2207,TRUE,"participants showed the expected effect on all four trial types, with follow-up, one-sample t-tests, indicating that these effects significantly differed from zero (ps < .002),",5 in preprint,,,,,,,,,,,,,,,,
Z8AD2HQ3,"Hussey, I.; Barnes-Holmes, D.; Booth, R.",2016,Individuals with current suicidal ideation demonstrate implicit 'fearlessness of death',10.1016/j.jbtep.2015.11.003,TRUE,"Previous research using the IAT to explore implicit death-identity effects has also elected to use cut-off score of D score 1â„4 0 (Nock et al., 2010). We therefore selected zero as a cut-off point.",6,,,,,,,,,,,,,,,,
DG2SE45R,"Hussey, Ian; Mhaoileoin, Dearbhaile Ní; Barnes-Holmes, Dermot; Ohtsuki, Tomu; Kishita, Naoko; Hughes, Sean; Murphy, Carol",2016,The IRAP is nonrelative but not acontextual: Changes to the contrast category influence men’s dehumanization of women,10.1007/s40732-016-0171-6,TRUE,Follow-up independent t tests were then used to explore differences on the individual trial types be- tween the two IRAPs.,5 in preprint,,,,,,,,,,,,,,,,
YW6T2E6Z,"Jackson, Marianne L.; Williams, W. Larry; Hayes, Steven C.; Humphreys, Tiffany; Gauthier, Brook; Westwood, Ryan",2016,Whatever gets your heart pumping: The impact of implicitly selected reinforcer-focused statements on exercise intensity,10.1016/j.jcbs.2015.11.002,FALSE,NA,NA,,,,,,,,,,,,,,,,
CM36Y9YX,"Kavanagh, Deirdre; Hussey, Ian; McEnteggart, Ciara; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot",2016,Using the IRAP to explore natural language statements,10.1016/j.jcbs.2016.10.001,TRUE,One sample t- tests indicated that responding on Fruits-Positive was significant on both IRAPs (Typical IRAP:,249,,,,,,,,,,,,,,,,
PJPFGZJW,"Leech, Aileen; Barnes-Holmes, Dermot; Madden, Lara",2016,"The Implicit Relational Assessment Procedure (IRAP) as a measure of spider fear, avoidance, and approach",10.1007/s40732-016-0176-1,TRUE,"Four one-sample t-tests indicated that the Pet-Pleasant, Pet-Fear, and Spider-Fear trial-type effects were each significantly different from zero (ps < 0.0001), but the effect for Spider-Pleasant was not (p = 0.4). The inferential statistics for the F-IRAP therefore confirmed the descriptive statistics presented in Fig. 1.",8 in preprint,,,,,,,,,,,,,,,,
9JCBEERI,"Maloney, Emma; Barnes-Holmes, Dermot",2016,Exploring the behavioral dynamics of the Implicit Relational Assessment Procedure: The role of relational contextual cues versus relational coherence indicators as response options,10.1007/s40732-016-0180-5,TRUE,"Four one-sample t tests indicated that three of the D-IRAP effects were significantly dif- ferent from zero: true/false first, t(25) = 4.66, p < .001; similar/ different first, t(25)=4.65, p<.001; similar/different second, t(25) = 2.45, p = .02 (remaining p = .11).",400,,,,,,,,,,,,,,,,
RBR9MGHQ,"McEnteggart, Ciara; Barnes-Holmes, Yvonne; Adekuoroye, Funso",2016,The effects of a voice hearing simulation on implicit fear of voices,10.1016/j.jcbs.2016.06.003,TRUE,"In order to investigate the effects of trial-type at Baseline, a one-way ANOVA was conducted and a main effect was found (df1â„427, F1â„477.771, po0.0001, m21â„41.0). Post-hoc analyses (two one-sample t-tests) indicated that Voices-Okay was significant (df1â„427, t1â„4  8.040, po0.0001).",4 in preprint,,,,,,,,,,,,,,,,
YG7XF2AA,"McEnteggart, Ciara; Barnes-Holmes, Yvonne; Egger, Jos; Barnes-Holmes, Dermot",2016,A pilot study of the relations within which hearing voices participates: Towards a functional distinction between voice hearers and controls,10.1007/s40732-016-0196-x,TRUE,"Furthermore, one-sample t-tests investigated whether the DIRAP effects differed significantly from zero and found that for both groups, Voices-Normal was significant (voice hearers: df=6, t=3.639, p<0.01; non-voice hearers: df=28, t=3.811, p<0.001).",16,,,,,,,,,,,,,,,,
2FQPHBHS,"McKenna, Ian; Hughes, Sean; Barnes-Holmes, Dermot; De Schryver, Maarten; Yoder, Ruth; O'Shea, Donal",2016,"Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure",10.1016/j.appet.2016.02.013,FALSE,NA,NA,,,,,,,,,,,,,,,,
K88KR6M3,"Monk, Rebecca L.; Pennington, Charlotte R.; Campbell, Claire; Price, Alan; Heim, Derek",2016,Implicit alcohol-related expectancies and the effect of context,10.15288/jsad.2016.77.819,TRUE,"Contrasts between the alcohol-congruent good trial type and both the alcohol-incongruent good and alcohol-incongruent bad trial types were statistically significant (all ps < .05). Participants more readily endorsed positive expectancies for positive-congruent trials (M =.08, SD =.39) relati ve to positive-incongruent trials (M =-.07, SD =.39). The yalso endorsed positive expectancies to alcohol-congruent good trials (M = .08, SD = .39), but in contrast endorsed negative expectancies for alcohol-incongruent bad trials (M = -.10, SD = .36). No other within-subject contrasts bytrial type were statistically significant (p > .05).",824,,,,,,,,,,,,,,,,
MYQFHAT3,"O'Shea, Brian; Watson, Derrick G.; Brown, Gordon D. A.",2016,Measuring implicit attitudes: A positive framing bias flaw in the Implicit Relational Assessment Procedure (IRAP),10.1037/pas0000172,TRUE,"One sample t tests were conducted on the resulting values that revealed that the scores for the Nonword and Social System trials (absent/weak prior associ- ations) were significantly greater than (ts  2.95, ps  .01) or marginally greater, for Capitalism, t(19)  1.90, p  .07, than zero.",164,,,,,,,,,,,,,,,,
P5XWPCBF,"Pennington, Charlotte R.; Campbell, Claire; Monk, Rebecca L.; Heim, Derek",2016,The malleability of stigmatizing attitudes: Combining imagined social contact with implicit attitude feedback,10.1080/15487768.2016.1171175,TRUE,"In line with previous IRAP analyses (Barnes-Holmes et al., 2009; Barnes- Holmes, Barnes-Holmes, et al., 2010; Cullen et al., 2009), four one-sample t tests were conducted to examine if the mean D-IRAP score for each trial type differed significantly from zero.",184,,,,,,,,,,,,,,,,
NMCF66FN,"Ritzert, Timothy R.; Anderson, Lisa M.; Reilly, Erin E.; Gorrell, Sasha; Forsyth, John P.; Anderson, Drew A.",2016,"Assessment of weight/shape implicit bias related to attractiveness, fear, and disgust",10.1007/s40732-016-0181-4,TRUE,"*p < .05 significant IRAP effect (i.e., significant difference from zero; one-sample t test)",410,,,,,,,,,,,,,,,,
4FWVXCC8,"Timmins, Liam; Barnes-Holmes, Dermot; Cullen, Claire",2016,Measuring implicit sexual response biases to nude male and female pictures in androphilic and gynephilic men,10.1007/s10508-016-0725-3,TRUE,"Twelve one-sample t-tests were used to determine if the results for the DPSs differed significantly from zero (i.e., a neutral preference). ",16-17 in preprint,,,,,,,,,,,,,,,,
ZW8FLEMV,"Cagney, Susan; Harte, Colin; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; McEnteggart, Ciara",2017,Response biases on the IRAP for adults and adolescents with respect to smokers and nonsmokers: The impact of parental smoking status,10.1007/s40732-017-0249-9,TRUE,"The scores for each group were subjected to one-sample t tests to determine if they differed significantly from zero. The t test for the smokers was significant, M = -.162, SD = .193, t(14) = - 3.25, p = .006, but the t test for nonsmokers was not, M = .043, SD = .203, p > .05. In effect, smokers produced a significant prosmoker bias on the IRAP, but nonsmokers showed a neu- tral effect.",477,,,,,,,,,,,,,,,,
KQMWSWPT,"Cartwright, Aoife; Hussey, Ian; Roche, Bryan; Dunne, Jenny; Muphy, Carol",2017,An investigation into the relationship between the gender binary and occupational discrimination using the Implicit Relational Assessment Procedure,10.1007/s40732-016-0212-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
4FI2SPK9,"De Raedt, Rudi; Remue, Jonathan; Loeys, Tom; Hooley, Jill M.; Baeken, Chris",2017,The effect of transcranial direct current stimulation of the prefrontal cortex on implicit self-esteem is mediated by rumination after criticism,10.1016/j.brat.2017.10.009,FALSE,NA,NA,,,,,,,,,,,,,,,,
FHJLUNCF,"Farrell, Lynn; McHugh, Louise",2017,Examining gender-STEM bias among STEM and non-STEM students using the Implicit Relational Assessment Procedure (IRAP),10.1016/j.jcbs.2017.02.001,TRUE,In order to examine whether this bias was significant a series of one sample t-tests using Bonferroni adjusted alpha levels of .0125 were conducted for each of the groups.,83,,,,,,,,,,,,,,,,
JTG6FKHS,"Hughes, Sean; Barnes-Holmes, Dermot; Smyth, Sinead",2017,Implicit cross-community biases revisited: Evidence for ingroup favoritism in the absence of outgroup derogation in Northern Ireland,10.1007/s40732-016-0210-3,TRUE,"It should be noted that Catholic students also affirmed the Catholics-Good relation to a significantly greater extent than did their Protestant counterparts, F(1, 62) = 4.98, p = 0.03, Î·2 = 0.08.",101,,,,,,,,,,,,,,,,
HVLW978H,"Leech, Aileen; Barnes-Holmes, Dermot; McEnteggart, Ciara",2017,Spider fear and avoidance: A preliminary study of the impact of two verbal rehearsal tasks on a behavior–behavior relation and its implications for an experimental analysis of defusion,10.1007/s40732-017-0230-7,FALSE,NA,NA,,,,,,,,,,,,,,,,
M6N5F6DP,"Levin, Michael E.; Haeger, Jack; Smith, Gregory S.",2017,Examining the role of implicit emotional judgments in social anxiety and experiential avoidance,10.1007/s10862-016-9583-5,TRUE,"One sample t-tests indicated significant (relative to zero) implicit biases for Bcalm is good^, t(60) = 9.13, p < .001, but also surprisingly for Bcalm is bad^, t(60) = 2.04, p = .046. ",8 in preprint,,,,,,,,,,,,,,,,
WUEMKJXL,"McEnteggart, Ciara; Barnes-Holmes, Yvonne; Mellon, Mirte; van Dongen, Linde; Hendriks, Annemieke; Bames-Holmes, Dermot; Egger, Jos; Harte, Colin",2017,Recommendations for using the IRAP with a medicated in-patient population with a diagnosis of psychosis,,TRUE,"Eight one-sample t-tests were conducted to investigate whether any of the observed effects were signi cantly different from zero, but only the Pleasant-Accept trial-type was signi cant for the clinical group",321,,,,,,,,,,,,,,,,
36HQAZWB,"Pilch, Irena; Hyla, Magdalena",2017,Narcissism and self-esteem revisited: The relationships between the subscales of the NPI and explicit/implicit self-esteem,10.1515/ppb-2017-0030,TRUE,"Positive D-scores indicate a self-positive implicit bias. Only Self-Negative (t = .10, p = .9) scores did not differ from zero, which suggests no bias toward positive or negative self-views.",269,,,,,,,,,,,,,,,,
FCLG4FYQ,"Power, Patricia M.; Harte, Colin; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne",2017,Combining the implicit Relational Assessment Procedure and the recording of event related potentials in the analysis of racial bias: A preliminary study,10.1007/s40732-017-0252-1,TRUE,One-sample t tests indicated that all four trial-type effects differed signifi- cantly from zero (all ps < .001).,503,,,,,,,,,,,,,,,,
F7C2WXMU,"Power, Patricia M.; Harte, Colin; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne",2017,Exploring racial bias in a European country with a recent history of immigration of Black Africans,10.1007/s40732-017-0223-6,TRUE,Eight one-sample t-tests indicated that three trial-type ef- fects for black participants were significantly different from zero,370,,,,,,,,,,,,,,,,
7EFZ4VG8,"Stewart, C.; Rogers, F.; Pilch, M.; Stewart, I.; Barnes-Holmes, Y.; Westermann, S.",2017,The effect of social exclusion on state paranoia and explicit and implicit self-esteem in a non-clinical sample,10.1016/j.jbtep.2017.04.001,TRUE,One-sample t-tests indicated that both groups showed positive implicit self-esteem at baseline and post-Cyberball ,65,,,,,,,,,,,,,,,,
AGBFXPMT,"Stockwell, Fawna M. J.; Hopkins, Lauren S.; Walker, Diana J.",2017,Implicit and explicit attitudes toward mainstream and BDSM sexual practices and their relation to interviewer behavior: An analogue study,10.1007/s40732-017-0225-4,TRUE,There was a significant difference between D-IRAP scores for the Mainstream-Healthy and the BDSM-Sick trials,441,,,,,,,,,,,,,,,,
RTN2JR84,"Vastano, Roberta; Finn, Martin; Barnes-Holmes, Dermot",2017,Functional relations modulate the responsiveness to affordances despite the impact of conflicting stimulus–response mappings,10.3389/fpsyg.2017.01951,TRUE,"The ANOVA on RTs revealed a main effect for Consistence, F(1,22) = 12.89; p = 0.001; Î·2p = 0.36, with faster RTs in consistent (M = 908 ms; SD = 150 ms) compared to the inconsistent condition (M = 954 ms; SD = 159 ms).",3,,,,,,,,,,,,,,,,
Q55BVQQS,"De Schryver, Maarten; Hussey, Ian; De Neve, Jan; Cartwright, Aoife; Barnes-Holmes, Dermot",2018,The PIIRAP: An alternative scoring algorithm for the IRAP using a probabilistic semiparametric effect size measure,10.1016/j.jcbs.2018.01.001,FALSE,NA,NA,,,,,,,,,,,,,,,,
LGT7RQQ4,"Drake, Chad E.; Codd, R. Trent III; Terry, Christeine",2018,Assessing the validity of implicit and explicit measures of stigma toward clients with substance use disorders among mental health practitioners,10.1016/j.jcbs.2018.03.005,TRUE,"A collection of one-sample t-tests was conducted on all IRAP D-scores separately for women and men in order to assess for implicit biases among these subsamples. Average D-scores, 95% confidence intervals, and Cohen’s d effect sizes for each IRAP are depicted in Fig. 3 for women and Fig. 4 for men.",,,,,,,,,,,,,,,,,
72LX2MUL,"Drake, Chad E.; Primeaux, Sunni; Thomas, Jorden",2018,Comparing implicit gender stereotypes between women and men with the Implicit Relational Assessment Procedure,10.1007/s12147-017-9189-6,TRUE,A collection of one-sample t-tests was conducted on all IRAP D-scores separately for women and men in order to assess for implicit biases among these subsamples.,14,,,,,,,,,,,,,,,,
8KY7QKFT,"Dunne, Ciara; McEnteggart, Ciara; Harte, Colin; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne",2018,Faking a race IRAP effect in the context of single versus multiple label stimuli,,TRUE,"Eight one-sample t-tests indicated that three effects in the pre-faking instruction IRAP were significant (ps <.05), except for Black-Positive (p =.18). In the post-faking instruction IRAP, three effects were significant (ps <.05), except for White-Negative (p =.26).",296,,,,,,,,,,,,,,,,
KVU2FMQ5,"Finn, Martin; Barnes-Holmes, Dermot; McEnteggart, Ciara",2018,Exploring the single-trial-type-dominance-effect in the IRAP: Developing a differential arbitrarily applicable relational responding effects (DAARRE) model,10.1007/s40732-017-0262-z,TRUE,"Eight one-sample t tests indicated that each of the D-IRAP effects differed signif- icantly from zero (ps < .03). The inferential statistics therefore confirmed the descriptive analyses presented in Fig. 2, in that the effect size for trial-type differences for the HE group was over twice that of the LE group.",6,,,,,,,,,,,,,,,,
9543WNXL,"Kavanagh, Deirdre; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot; McEnteggart, Ciara; Finn, Martin",2018,Exploring differential trial-type effects and the impact of a read-aloud procedure on deictic relational responding on the IRAP,10.1007/s40732-018-0276-1,TRUE,"Four one-sample t tests indicated that only I-I, t(36) = 9.34, p < 0.001, d = 1.6, and Other-Other, t(36) = 6.4, p < 0.00, d = 1.1, differed significantly from zero. ",7 in pdf,,,,,,,,,,,,,,,,
GPHKN3IR,"Leech, Aileen; Bouyrden, Jaber; Bruijsten, Nathalie; Barnes-Holmes, Dermot; McEnteggart, Ciara",2018,Training and testing for a transformation of fear and avoidance functions using the Implicit Relational Assessment Procedure: The first study,10.1016/j.beproc.2018.08.012,TRUE,"Four one sample t-tests indicated Pet-Pleasant, Pet-Fear, Spider-Pleasant trial-type effects were significantly different from zero (ps < .043) but the effect for Spider-Fear was not (p > .11).",22 in preprint,,,,,,,,,,,,,,,,
E5RG8PK6,"Munnelly, Anita; Farrell, Lynn; O'Connor, Martin; McHugh, Louise",2018,Adolescents’ implicit and explicit attitudes toward cyberbullying: An exploratory study using the Implicit Relational Assessment Procedure (IRAP) and self-report measures,10.1007/s40732-017-0261-0,TRUE,"One-sample t tests revealed that the D-IRAP scores for the cyberbullying isâ€“positive trial (p = .043; d = âˆ’0.51) differed significantly from zero. Thus, participants displayed statistically significant pro-cyberbullying atti- tudes.",6 in preprint,,,,,,,,,,,,,,,,
UDNNYRXA,"Pennie, Brian; Kelly, Michelle E.",2018,An examination of generalised implicit biases towards ‘wanting more’ as a proxy measure of materialistic behaviour: A Relational Frame Theory (RFT) perspective,10.1016/j.jcbs.2018.02.004,TRUE,"to determine which trial types differed significantly from zero, twelve one sample t tests were conducted....that is faster reponsding to ""more is good"" and ""more is not bad""",7,,,,,,,,,,,,,,,,
6275MA6V,"van der Kaap-Deeder, Jolene; De Houwer, Jan; Hughes, Sean; Spruyt, Adriaan; Vansteenkiste, Maarten",2018,The development and validation of an implicit measure of competence need satisfaction,10.1007/s11031-018-9685-3,FALSE,NA,NA,,,,,,,,,,,,,,,,
ACAZYVEE,"Alasiri, Eman; Bast, Diana; Kolts, Russell L.",2019,Using the Implicit Relational Assessment Procedure (IRAP) to explore common humanity as a dimension of self-compassion,10.1016/j.jcbs.2019.09.004,TRUE,"In addition, the four trial-type scores were tested using one-sample t-testing and results indicated significant differences for all of the trial-types (p ≤ .001) except for the self-isolation trial-type.",68,,,,,,,,,,,,,,,,
PVKQMA85,"Bortoloti, Renato; de Almeida, Rodrigo Vianna; de Almeida, João Henrique; de Rose, Julio C.",2019,Emotional faces in symbolic relations: A happiness superiority effect involving the equivalence paradigm,10.3389/fpsyg.2019.00954,TRUE,One-sample t-tests calculated for the mean overall D-IRAPs generated by the participants of each subgroup.,6,,,,,,,,,,,,,,,,
7V8ZYAEN,"Delgado, Eduardo M. Blasco; Cascalló, Aurembiaix Llobera; Sánchez, L. Jorge Ruiz; Carrasco, Jorge Villarroel",2019,Measuring the attitudes from Spanish and Catalan people toward Spanish and Catalan identity with the Implicit Relational Assessment Procedure,,TRUE,"Four one-sample t-tests were conducted for each trial type, showing that only the DIRAP scores in the trials types that refer to the own group were significantly different from zero (see Figure 4).",197,,,,,,,,,,,,,,,,
MNL5TDTF,"Errasti, José; Martinez, Hugo; Rodriguez, Carmen; Marquez, Jennifer; Maldonado, Alejandro; Menendez, Alvaro",2019,Social context in a collective IRAP application about gender stereotypes: Mixed versus single gender groups,10.1007/s40732-018-0320-1,TRUE,"In order to study the basic IRAP effect on gender stereotypes, eight one-sample t-tests were conducted to determine if the mean D-IRAP scores for each of the four trial-types differed significantly from 0 for male and female participants (see Fig. 3). For both male and female participants, the difference from 0 was found to be significant for all four trial types, indicating the presence of gender bias: me–gender stereotypes (male participants: M =.28,SD =.44,t(20) = 2.93, p =.009; female participants M =.39,SD =.42,t(29) = 4.99, p =.000); opposite sex–gender stereotypes (male participants: M =.27, SD =.40,t(20) = 3.05, p = .007; female participants M =.34, SD =.38,t(29) = 4.82, p =.000);me–gender anti-stereotypes (male participants: M =.28,SD =.38,t(20) = 3.31, p =.004; female participants: M =.37,SD =.48,t(29) = 4.11, p =.000); opposite sex–gender anti-stereotypes (male participants: M = .23, SD =.42,t(20) = 2.41, p = .026; female participants M = .33, SD =.50,t(29) = 3.55, p = .001).",43,,,,,,,,,,,,,,,,
DXDAVGHW,"Ferroni-Bast, Diana; Fitzpatrick, Jane; Stewart, Ian; Goyos, Celso",2019,Using the Implicit Relational Assessment Procedure (IRAP) as a measure of reaction to perceived failure and the effects of a defusion intervention in this context,10.1007/s40732-019-00349-2,TRUE,"IRAP trial-type one-sample t-tests Each of the trial-type scores both pre- and post- for each of the two groups was subjected to a one sample t-test (Bonferroni adjusted). The Success–Positive trial type for the Control group was significant both preintervention, t(14) = 3.767 (p =.002, d = .97), and postintervention, t(14) = 3.737 (p =.002, d = .96); in other words, this group responded that success is positive both pre- and postintervention. Apart from this, nothing else was significant preintervention for either group. At postintervention, however, the FailurePositive trial type was significant for both the Control group, t(14) = -6.302 (p < .001, d = -1.63) and the Defusion group, t(13) = -6.941 (p < .001, d =-1.86);in other words, following the failure task (and subsequent intervention) both groups responded that failure is not positive.",8 in advance online publication,,,,,,,,,,,,,,,,
WUBZ8EF8,"Finn, Martin; Barnes-Holmes, Dermot; McEnteggart, Ciara; Kavanagh, Deirdre",2019,Predicting and influencing the single-trial-type-dominance-effect: The first study,10.1007/s40732-019-00347-4,TRUE,"Scores above 0 indicate that a participant produced an aggregate difference between D-IRAP scores that was greater for the targeted trial-type (i.e., contained label stimuli that had previously been trained to “True”)relativetothe nontargeted trial-type (i.e., contained label stimuli that had not been trained to “True”). Scores below 0 indicate the opposite effect. Figure 3shows that 28 out of the 40 participants produced effects in the predicted direction (i.e., greater than zero). Assuming that scores above 0 and scores below 0 are equally likely by chance, a binomial probability test indicates that observing 28 out of 40 effects in the predicted direction is statistically significant (B(40, 0.5) where N ≥ 28, p < .01).",432,,,,,,,,,,,,,,,,
XEXMBKW3,"Gomes, Cainã T.; Perez, William F.; de Almeida, João Henrique; Ribeiro, Arthur; de Rose, Julio C.; Barnes-Holmes, Dermot",2019,Assessing a derived transformation of functions using the Implicit Relational Assessment Procedure under three motivative conditions,10.1007/s40732-019-00353-6,TRUE,"At first, multiple t-tests were conducted to verify whether each trial type for each group was significantly different from zero. For the Double Pepper group, three of the four trial types were statistically different from zero (Trial type 1 WATER POSITIVE true, p < .0001; Trial type 2 WATER NEGATIVE false, p =.0036, Trial type 4 NEUTRAL NEGATIVE true, p = .0489), whereas one was not (Trial type 3 NEUTRAL POSITIVE false, p = .2818).",6 in advance online publication,,,,,,,,,,,,,,,,
9B7HDIBK,"Henklain, Marcelo H. O.; Haydu, Verônica Bender; Carmo, João S.; Muniz, Monalisa; Perez, William F.",2019,Expanding the evidence of content validity for the Teacher Behavior Checklist using the IRAP: TBC’s content validity using the IRAP,10.1007/s40732-019-00334-9,TRUE,"In the GT+ and BTtrial types, the participants responded with shorter latencies to “True” (compared to “False”). In the GT- trial type, the latencies were shorter for “False” (compared to “True”). For the BT+ trial type, however, the mean DIRAP score was close to 0, suggesting similar latencies for both “True” and “False” response options. Statistical tests confirmed these results showing that the mean DIRAP score differed from 0 for the GT+ (t = 9.67, p <0.001),BT-(t =4.54,p <0.001)andGT-(t =2.237, p = 0.03) trial types; no difference was found for the BT+ trial type (t =-0.299,p =0.7657).",210,,,,,,,,,,,,,,,,
